bvid,page,title,author,tags,category,play_count,regex_content_type,regex_is_game,regex_is_cover,regex_rule,suspicious,suspicious_reason
BV1ws411D7RB,15,群青雨(群青Rain/群青レイン)-IA,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,16,少年勇气(少年Brave/少年ブレイヴ)-IA【PV!】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,17,夜谈欺骗(夜咄Deceive/夜咄ディセイブ)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,18,回忆补时(Lost Time Memory/ロスタイムメモリー)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,19,文乃的幸福理论(アヤノの幸福理論)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,20,赏月独奏会(賞月Recital/オツキミリサイタル)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,21,夕景昨日(夕景Yesterday/夕景イエスタデイ)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,22,界外科学(Outer Science/アウターサイエンス)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,23,茉莉的架空世界(マリーの架空世界)-IA + 哭泣序曲(クライングプロローグ),Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
BV1ws411D7RB,24,夏令时记录(Summer Time Record/サマータイムレコード)-IA【PV】,Grandom,"官方合集,カゲロウプロジェクト,初音ミク,IA,じん(自然の敵P),失想ワアド,目隐都市的演绎者,惊异的中毒性,阳炎PROJECT",VOCALOID·UTAU,32808,ia_music,False,False,music_signal,False,
